trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 0.5, 'e': 0.2711725350455999}",30,1,-22.584210241102998,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.2698200563846868}",30,18,-2.9340813115653095,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.2684743232392366}",25,18,11.776699163867152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,12,-3.040848824073832,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.2658029590889266}",20,8,-25.07098247123367,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,10,18.60453466418876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.2631581754560287}",30,14,-50.20263914315045,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
268,False,"{'a': 0.5, 'e': 0.261845668580326}",25,9,-73.64998781888798,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
269,False,"{'a': 0.5, 'e': 0.2605397078599756}",35,25,-34.06699512338605,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
270,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,14,22.836528198094133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.2579472944518257}",25,1,10.177925128279329,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.2566607769535559}",30,7,14.492392310979714,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.2553806759880777}",25,9,-5.761027140836048,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,17,14.84451861953277,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.25283959580474646}",20,0,17.04320095515253,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,10,-4.387554387036836,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.2503237997916961}",20,15,8.859730755393864,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,16,8.974337976931846,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.24783303636722875}",20,5,-22.89799339933062,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
